PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,Min trading days,,,,
1,Blusky,US,2022,Bluesky Launch,50k,5 minis / 50 micros,Subscription,$59,-,-,No,Yes,EOD,$2 000,-,$3 000,50%,2,$99,No,Yes,5 minis / 50 micros,EOD,$2 000,-,$3 000,30%,-,$250,$3 000 / Week,90%,
2,Blusky,US,2022,Bluesky Launch,100k,10 minis / 100 micros,Subscription,$69,-,-,No,Yes,EOD,$2 500,-,$6 000,50%,2,$149,No,Yes,10 minis / 100 micros,EOD,$2 500,-,$3 500,30%,-,$250,$3 000 / Week,90%,
3,Blusky,US,2022,Bluesky Static Launch,200k,2 minis / 20 micros,Subscription,$79,-,-,No,Yes,Static,$2 000,-,$6 000,50%,2,$149,No,Yes,2 minis / 20 micros,Static,$2 000,-,$3 000,30%,-,$250,$3 000 / Week,90%,
4,Blusky,US,2022,Bluesky Propel,25k,4 minis / 40 micros,Subscription,$150,$105,MTD,No,Yes,EOD,$1 200,-,$1 500,34%,4,FREE,No,Yes,4 minis / 40 micros,EOD,$1 200,-,$1 500,30%,-,$250,$3 000 / Week,90%,
5,Blusky,US,2022,Bluesky Propel,50k,5 minis / 50 micros,Subscription,$160,$112,MTD,No,Yes,EOD,$2 000,-,$3 000,34%,4,FREE,No,Yes,5 minis / 50 micros,EOD,$2 000,-,$3 000,30%,-,$250,$3 000 / Week,90%,
6,Blusky,US,2022,Bluesky Propel,100k,10 minis / 100 micros,Subscription,$220,$154,MTD,No,Yes,EOD,$2 500,-,$6 000,34%,4,FREE,No,Yes,10 minis / 100 micros,EOD,$2 500,-,$3 500,30%,-,$250,$3 000 / Week,90%,
7,Blusky,US,2022,Bluesky Static Propel,150k,1 mini / 10 micros,Subscription,$170,$119,MTD,No,Yes,Static,$1 000,-,$3 000,34%,4,FREE,No,Yes,1 mini / 10 micros,Static,$1 000,-,$2 000,30%,-,$250,$3 000 / Week,90%,
8,Blusky,US,2022,Bluesky Static Propel,200k,2 minis / 20 micros,Subscription,$270,$189,MTD,No,Yes,Static,$2 000,-,$6 000,34%,4,FREE,No,Yes,2 minis / 20 micros,Static,$2 000,-,$3 000,30%,-,$250,$3 000 / Week,90%,
9,Blusky,US,2022,Bluesky Static Propel,300k,5 minis / 50 micros,Subscription,$320,$224,MTD,No,Yes,Static,$5 000,-,$20 000,21%,5,FREE,No,Yes,5 minis / 50 micros,Static,$2 500,-,$3 500,21%,-,$250,$3 000 / Week,90%,
10,Blusky,US,2022,Bluesky Orbit,50k,5 minis / 50 micros,Subscription,$199,-,-,No,Yes,EOD,$2 000,-,$3 000,-,-,FREE,No,Yes,5 minis / 50 micros,EOD,$2 000,-,$3 000,50%,-,$250,$3 000 / Week,90%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPFIRM,,,,,,,,,,,DIRECT FUNDED,,,,,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Profit Goal,Consistency,,Payout mini,Payout max,Profit Split,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Min trading days,,,,,,,,,,,,,,
11,Blusky,US,2022,Bluesky Instant Plans,50k,5 minis / 50 micros,OTP,$599,-,-,No,Yes,Trailing,$2 000,$1 000,$3 000,21%,-,$250,$2 500,80%,,,,,,,,,,,
