PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,Sizing,Drawdown type,Drawdown,DLL,Buffer,Payout requirements,,Payout mini,Payout max,,,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,Consistency,Min trading days,,1st,2nd+,3rd,,
1,Bulenox,US,2020,Bulenox Opt. 1,25k,3 minis / 30 micros,Subscription,$145,"$79,75",MTD,$1 500,Yes,Trail,$1 500,No,$1 500,100%,1,$143,No,Yes,3 minis / 30 micros,Trail,$1 500,No,$1 600,40%,3,$1 000,$1 000,$1 000,$1 000,100%,"Profit Spilt 90% after the first $10,000"
2,Bulenox,US,2020,Bulenox Opt. 2,25k,3 minis / 30 micros,Subscription,$145,"$79,75",MTD,$1 500,Yes,EOD,$1 500,$500,$1 500,100%,1,$143,No,Yes,3 minis / 30 micros,Trail,$1 500,No,$1 600,40%,3,$1 000,$1 000,$1 000,$1 000,100%,"Profit Spilt 90% after the first $10,000"
3,Bulenox,US,2020,Bulenox Opt. 1,50k,7 minis / 70 micros,Subscription,$175,"$96,25",MTD,$2 500,Yes,Trail,$2 500,No,$3 000,100%,1,$148,No,Yes,7 minis / 70 micros,Trail,$2 500,No,$2 600,40%,3,$1 000,$1 500,$1 500,$1 500,100%,"Profit Spilt 90% after the first $10,000"
4,Bulenox,US,2020,Bulenox Opt. 2,50k,7 minis / 70 micros,Subscription,$175,"$96,25",MTD,$2 500,Yes,EOD,$2 500,$1 100,$3 000,100%,1,$148,No,Yes,7 minis / 70 micros,Trail,$2 500,No,$2 600,40%,3,$1 000,$1 500,$1 500,$1 500,100%,"Profit Spilt 90% after the first $10,000"
5,Bulenox,US,2020,Bulenox Opt. 1,100k,12 minis / 120 micros,Subscription,$215,"$118,25",MTD,$3 500,Yes,Trail,$3 000,No,$6 000,100%,1,$248,No,Yes,12 minis / 120 micros,Trail,$3 000,No,$3 100,40%,3,$1 000,$1 750,$1 750,$1 750,100%,"Profit Spilt 90% after the first $10,000"
6,Bulenox,US,2020,Bulenox Opt. 2,100k,12 minis / 120 micros,Subscription,$215,"$118,25",MTD,$3 500,Yes,EOD,$3 000,$2 200,$6 000,100%,1,$248,No,Yes,12 minis / 120 micros,Trail,$3 000,No,$3 100,40%,3,$1 000,$1 750,$1 750,$1 750,100%,"Profit Spilt 90% after the first $10,000"
7,Bulenox,US,2020,Bulenox Opt. 1,150k,15 minis / 150 micros,Subscription,$325,"$178,75",MTD,$4 500,Yes,Trail,$4 500,No,$9 000,100%,1,$498,No,Yes,15 minis / 150 micros,Trail,$4 500,No,$4 600,40%,3,$1 000,$2 000,$2 000,$2 000,100%,"Profit Spilt 90% after the first $10,000"
8,Bulenox,US,2020,Bulenox Opt. 2,150k,15 minis / 150 micros,Subscription,$325,"$178,75",MTD,$4 500,Yes,EOD,$4 500,$3 300,$9 000,100%,1,$498,No,Yes,15 minis / 150 micros,Trail,$4 500,No,$4 600,40%,3,$1 000,$2 000,$2 000,$2 000,100%,"Profit Spilt 90% after the first $10,000"
9,Bulenox,US,2020,Bulenox Opt. 1,250k,25 minis / 250 micros,Subscription,$535,"$294,25",MTD,$5 500,Yes,Trail,$5 500,No,$15 000,100%,1,$898,No,Yes,25 minis / 250 micros,Trail,$5 500,No,$5 600,40%,3,$1 000,$2 500,$2 500,$2 500,100%,"Profit Spilt 90% after the first $10,000"
10,Bulenox,US,2020,Bulenox Opt. 2,250k,25 minis / 250 micros,Subscription,$535,"$294,25",MTD,$5 500,Yes,EOD,$5 500,$4 500,$15 000,100%,1,$898,No,Yes,25 minis / 250 micros,Trail,$5 500,No,$5 600,40%,3,$1 000,$2 500,$2 500,$2 500,100%,"Profit Spilt 90% after the first $10,000"
