PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,Min profit per day,,,,,,,,,,,,,,,
1,DayTraders,US,2023,DayTraders Trail,25k,6 minis / 60 micros,OTP,$249,"$37,35",MTD,No,Yes,Trail,$1 500,-,$1 500,50%,2,$100,$130,No,Yes,6 minis / 60 micros,Trail,$1 500,-,$1 600,30%,8,$100,$500,$1 000,100%,
2,DayTraders,US,2023,DayTraders Trail,50k,10 minis / 100 micros,OTP,$379,"$56,85",MTD,No,Yes,Trail,$2 500,-,$3 000,50%,2,$200,$130,No,Yes,10 minis / 100 micros,Trail,$2 500,-,$2 600,30%,8,$200,$500,$2 000,100%,
3,DayTraders,US,2023,DayTraders Trail,150k,12 minis / 120 micros,OTP,$699,"$104,85",MTD,No,Yes,Trail,$4 500,-,$8 500,50%,2,$300,$130,No,Yes,12 minis / 120 micros,Trail,$4 500,-,$5 100,30%,8,$300,$500,$3 500,100%,
4,DayTraders,US,2023,DayTraders Trail,300k,40 minis / 400 micros,OTP,$879,"$131,85",MTD,No,Yes,Trail,$7 000,-,$15 000,50%,2,$400,$130,No,Yes,40 minis / 400 micros,Trail,$7 000,-,$7 600,30%,8,$400,$500,$5 000,100%,
5,DayTraders,US,2023,DayTraders Static,25k,2 minis / 20 micros,OTP,$150,"$22,50",MTD,No,Yes,Static,$750,-,$2 500,50%,2,$100,$130,No,Yes,2 minis / 20 micros,Static,$750,-,$1 600,30%,8,$100,$500,$1 000,100%,
6,DayTraders,US,2023,DayTraders Static,50k,6 minis / 60 micros,OTP,$200,"$30,00",MTD,No,Yes,Static,$1 000,-,$3 750,50%,2,$200,$130,No,Yes,6 minis / 60 micros,Static,$1 000,-,$2 600,30%,8,$200,$500,$2 000,100%,
7,DayTraders,US,2023,DayTraders Static,100k,8 minis / 80 micros,OTP,$325,"$48,75",MTD,No,Yes,Static,$1 500,-,$5 750,50%,2,$300,$130,No,Yes,8 minis / 80 micros,Static,$1 500,-,$3 100,30%,8,$300,$500,$3 000,100%,
8,DayTraders,US,2023,DayTraders Static,150k,8 minis / 80 micros,OTP,$400,"$60,00",MTD,No,Yes,Static,$1 750,-,$6 750,50%,2,$300,$130,No,Yes,8 minis / 80 micros,Static,$1 750,-,$5 100,30%,8,$300,$500,$3 500,100%,
9,DayTraders,US,2023,DayTraders Core Plan,50k,2 minis / 20 micros,OTP,$329,"$229,00",MTD,No,Yes,Trail,$2 000,$1 000,$3 000,25%,8,$200,FREE,No,Yes,1 minis / 10 micros,Trail,$2 000,$1 000,$1 000,-,-,-,-,No limit,80%,
10,DayTraders,US,2023,DayTraders Edge Plan,150k,3 minis / 30 micros,OTP,$269,"$369,00",MTD,No,Yes,Trail,$4 500,$1 750,$8 500,25%,8,$300,FREE,No,Yes,2 minis / 20 micros,Trail,$4 500,$1 750,$1 000,-,-,-,-,No limit,80%,
11,DayTraders,US,2023,DayTraders Ultra Plan,300k,4 minis / 40 micros,OTP,$599,"$499,00",MTD,No,Yes,Trail,$7 000,$3 250,$15 000,25%,8,$400,FREE,No,Yes,3 minis / 30 micros,Trail,$7 000,$3 250,$1 000,-,-,-,-,No limit,80%,
12,DayTraders,US,2023,DayTraders EOD,25k,6 minis / 60 micros,OTP,$309,"$46,35",MTD,No,Yes,EOD,$1 000,$800,$1 500,50%,2,$100,$130,No,Yes,6 minis / 60 micros,EOD,$1 000,$800,$1 600,30%,8,$100,$500,$1 000,100%,
13,DayTraders,US,2023,DayTraders EOD,50k,10 minis / 100 micros,OTP,$469,"$70,35",MTD,No,Yes,EOD,$2 000,$1 250,$3 000,50%,2,$200,$130,No,Yes,10 minis / 100 micros,EOD,$2 000,$1 250,$2 600,30%,8,$200,$500,$2 000,100%,
14,DayTraders,US,2023,DayTraders EOD,150k,12 minis / 120 micros,OTP,$899,"$134,85",MTD,No,Yes,EOD,$4 000,$2 000,$8 500,50%,2,$300,$130,No,Yes,12 minis / 120 micros,EOD,$4 000,$2 000,$5 100,30%,8,$300,$500,$3 500,100%,
15,DayTraders,US,2023,DayTraders EOD,300k,40 minis / 400 micros,OTP,$1 599,"$239,85",MTD,No,Yes,EOD,$6 500,$3 250,$15 000,50%,2,$400,$130,No,Yes,40 minis / 400 micros,EOD,$6 500,$3 250,$7 600,30%,8,$400,$500,$5 000,100%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPFIRM,,,,,,,,,,,DIRECT FUNDED RULES,,,,,,,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Profit Target,,,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,Profit Split,Notes,,,,,,,,
,,,,,,,,,,,,,,,,,1st,2nd,3rd+,,,,,,,,,,,,,,,
16,DayTraders,US,2023,DayTraders S2F,25k,2 minis / 20 micros,OTP,$370,"$222,00",MTD,No,Yes,2 minis / 20 micros,EOD,$1 000,-,$2 000,$1 500,$1 000,20%,10,$100,$500,$1 000,100%,,,,,,,,,
17,DayTraders,US,2023,DayTraders S2F,50k,10 minis / 100 micros,OTP,$570,"$342,00",MTD,No,Yes,10 minis / 100 micros,EOD,$2 500,$1 250,$3 500,$3 000,$2 500,20%,10,$200,$500,$2 000,100%,,,,,,,,,
18,DayTraders,US,2023,DayTraders S2F,150k,24 minis / 240 micros,OTP,$825,"$495,00",MTD,No,Yes,24 minis / 240 micros,EOD,$6 000,$3 750,$10 000,$5 000,$3 500,20%,10,$300,$500,$3 000,100%,,,,,,,,,
