PROPFIRM,,,,,,,,EVALUATION,,,,,,,,,,FUNDED,,,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,Activation Fees,Overweek / Overnight,Trading News,Drawdown type,Drawdown,Tiers Level,,,Buffer,Payout mini,Payout maxi,,,,,,Payout requirements,,,Profit Split
,,,,,,,,,,,,,,,,,,,,,,,Profit Range,Size contract,DLL,,,1st,2nd,3rd,4th,5th,6th,Consistency,Minimum tradind days,Minimum profit per day,
1,Apex Trader Funding,US,2022,Apex EOD,25k,4 minis / 40 micros,OTP,$299,"$29,90",SAVENOW,No,Yes,EOD,$1 000,$500,$1 500,-,$109,No,Yes,EOD,$1 000,$0 - $999,1 mini / 10 micros,"$500,00",$1 100,$500,$1 000,$1 000,$1 000,$1 000,$1 000,$1 000,50%,5,$100,100%
,,,,,,,,,,,,,,,,,,,,,,,$1 000 - $1 999,2 minis / 20 micros,"$500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $2 000,2 minis / 20 micros,"$1 250,00",,,,,,,,,,,,
2,Apex Trader Funding,US,2022,Apex Trailing,25k,4 minis / 40 micros,OTP,$199,"$19,90",SAVENOW,No,Yes,Trail,$1 000,-,$1 500,-,$89,No,Yes,Trail,$1 000,$0 - $999,1 mini / 10 micros,"$500,00",$1 100,$500,$1 000,$1 000,$1 000,$1 000,$1 000,$1 000,50%,5,$100,100%
,,,,,,,,,,,,,,,,,,,,,,,$1 000 - $1 999,2 minis / 20 micros,"$500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $2 000,2 minis / 20 micros,"$1 250,00",,,,,,,,,,,,
3,Apex Trader Funding,US,2022,Apex EOD,50k,6 minis / 60 micros,OTP,$349,"$34,90",SAVENOW,No,Yes,EOD,$2 000,$1 000,$3 000,-,$119,No,Yes,EOD,$2 000,$0 - $1 499,2 minis / 20 micros,"$1 000,00",$2 100,$500,$1 500,$2 000,$2 500,$2 500,$3 000,$3 000,50%,5,$200,100%
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 999,3 minis / 30 micros,"$1 000,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $5 999,4 minis / 40 micros,"$2 000,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $6 000,4 minis / 40 micros,"$3 000,00",,,,,,,,,,,,
4,Apex Trader Funding,US,2022,Apex Trailing,50k,6 minis / 60 micros,OTP,$249,"$24,90",SAVENOW,No,Yes,Trail,$2 000,-,$3 000,-,$99,No,Yes,Trail,$2 000,$0 - $1 499,2 minis / 20 micros,"$1 000,00",$2 100,$500,$1 500,$2 000,$2 500,$2 500,$3 000,$3 000,50%,5,$200,100%
