PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,,,,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,,,,1st,2nd,3rd,4th+,,
1,Elite Trader Funding,US,2022,Elite Trader Funding Live Trailing,50k,8 minis / 80 micros,Subscription,$197,"$39,40",-,No,Yes,Trail,$2 000,-,$3 000,-,5,$177,No,Yes,8 minis / 80 micros,Trail,$2 000,-,$2 100,23%,8,$200,$100,$1 250,$1 500,$1 750,$2 000,100%,
2,Elite Trader Funding,US,2022,Elite Trader Funding Live Trailing,100k,14 minis / 140 micros,Subscription,$246,"$49,40",-,No,Yes,Trail,$3 000,-,$6 000,-,5,$247,No,Yes,14 minis / 140 micros,Trail,$3 000,-,$3 100,23%,8,$200,$100,$1 750,$2 000,$2 250,$2 500,100%,
3,Elite Trader Funding,US,2022,Elite Trader Funding Live Trailing,150k,18 minis / 180 micros,Subscription,$347,"$69,40",-,No,Yes,Trail,$5 000,-,$9 000,-,5,$247,No,Yes,18 minis / 180 micros,Trail,$5 000,-,$5 100,23%,8,$200,$100,$2 250,$2 500,$2 750,$3 000,100%,
4,Elite Trader Funding,US,2022,Elite Trader Funding Live Trailing,250k,24 minis / 240 micros,Subscription,$597,"$119,40",-,No,Yes,Trail,$6 500,-,$15 000,-,5,$277,No,Yes,24 minis / 240 micros,Trail,$6 500,-,$6 600,23%,8,$200,$100,$2 750,$2 750,$3 000,$3 000,100%,
5,Elite Trader Funding,US,2022,Elite Trader Funding DTF,25k,2 minis / 20 micros,OTP,$647,-,-,-,-,-,-,-,-,-,-,-,No,Yes,2 minis / 20 micros,EOD,$2 500,-,$2 600,38%,10,$300,$1 000,$1 000,$2 000,$3 000,$4 000,100%,
6,Elite Trader Funding,US,2022,Elite Trader Funding DTF,50k,5 minis / 50 micros,OTP,$747,-,-,-,-,-,-,-,-,-,-,-,No,Yes,5 minis / 50 micros,EOD,$5 000,-,$5 100,62%,15,$600,$500,$2 500,$2 500,$5 000,$5 000,100%,
7,Elite Trader Funding,US,2022,Elite Trader Funding DTF,100k,3 minis / 30 micros,OTP,$997,-,-,-,-,-,-,-,-,-,-,-,No,Yes,3 minis / 30 micros,EOD,$5 000,-,$5 100,50%,20,$500,$500,$1 500,$2 500,$3 500,$5 000,100%,
8,Elite Trader Funding,US,2022,Elite Trader Funding Static,10k,1 mini / 10 micros,Subscription,$147,"$29,40",-,No,Yes,Static,$500,-,$1 000,-,5,$177,No,Yes,1 mini / 10 micros,Static,$500,-,$600,23%,8,$200,$100,$500,$500,$500,$1 000,100%,
9,Elite Trader Funding,US,2022,Elite Trader Funding Static,25k,2 minis / 20 micros,Subscription,$277,"$55,40",-,No,Yes,Static,$1 000,-,$2 000,-,5,$177,No,Yes,2 minis / 20 micros,Static,$1 000,-,$1 100,23%,8,$200,$100,$750,$1 000,$1 250,$1 500,100%,
10,Elite Trader Funding,US,2022,Elite Trader Funding Static,50k,4 minis / 40 micros,Subscription,$497,"$99,40",-,No,Yes,Static,$2 000,-,$4 000,-,5,$177,No,Yes,4 minis / 40 micros,Static,$2 000,-,$2 100,23%,8,$200,$100,$1 250,$1 500,$1 750,$2 000,100%,
11,Elite Trader Funding,US,2022,Elite Trader Funding DH,100k,2 minis / 20 micros,Subscription,$397,"$79,40",-,Yes,Yes,EOD,$3 500,$1 500,$5 000,-,5,$307,Yes,Yes,2 minis / 20 micros,EOD,$3 500,$1 500,$3 600,23%,8,$200,$100,$1 750,$2 000,$2 250,$2 500,100%,
12,Elite Trader Funding,US,2022,Elite Trader Funding EOD,50k,8 minis / 80 micros,Subscription,$347,"$69,40",-,No,Yes,EOD,$2 000,$1 100,$3 000,-,5,$177,No,Yes,8 minis / 80 micros,EOD,$2 000,$1 100,$2 100,23%,8,$200,$100,$1 250,$1 500,$1 750,$2 000,100%,
13,Elite Trader Funding,US,2022,Elite Trader Funding EOD,100k,14 minis / 140 micros,Subscription,$487,"$97,40",-,No,Yes,EOD,$3 500,$2 200,$6 000,-,5,$257,No,Yes,14 minis / 140 micros,EOD,$3 500,$2 200,$3 600,23%,8,$200,$100,$1 750,$2 000,$2 250,$2 500,100%,
14,Elite Trader Funding,US,2022,Elite Trader Funding EOD,150k,18 minis / 180 micros,Subscription,$657,"$131,40",-,No,Yes,EOD,$4 500,$3 300,$9 000,-,5,$257,No,Yes,18 minis / 180 micros,EOD,$4 500,$3 300,$4 600,23%,8,$200,$100,$2 250,$2 500,$2 750,$3 000,100%,
