PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",,Drawdown type,Drawdown,DLL,Buffer,Payout requirements,,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,Consistency,Min trading days,,,,
1,Funded Futures Network,US,2022,Funded Futures Network OG,25k,3 minis / 30 micros,Subscription,$125,"$62,50",MTDESK,No,Yes,EOT,$1 500,-,$2 000,40%,7,FREE,No,No,$0 - $800,1 mini / 10 micros,EOT,$1 500,-,$1 600,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$801 - $1 000,2 minis / 20 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$1 001 - $2 000,3 minis / 30 micros,,,,,,,,,,
2,Funded Futures Network,US,2022,Funded Futures Network OG,50k,4 minis / 40 micros,Subscription,$150,"$75,00",MTDESK,No,Yes,EOT,$2 000,-,$3 000,40%,7,FREE,No,No,$0 - $1 000,2 minis / 20 micros,EOT,$2 000,-,$2 100,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$1 001 - $2 000,3 minis / 30 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$2 001 - $3 000,4 minis / 40 micros,,,,,,,,,,
3,Funded Futures Network,US,2022,Funded Futures Network OG,100k,10 minis / 100 micros,Subscription,$305,"$152,50",MTDESK,No,Yes,EOT,$3 600,-,$6 000,40%,7,FREE,No,No,$0 - $3 000,4 minis / 40 micros,EOT,$3 600,-,$3 700,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$3 001 - $4 500,6 minis / 60 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$4 501 - $6 000,10 minis / 100 micros,,,,,,,,,,
4,Funded Futures Network,US,2022,Funded Futures Network OG,150k,15 minis / 150 micros,Subscription,$350,"$175,00",MTDESK,No,Yes,EOT,$5 000,-,$9 000,40%,7,FREE,No,No,$0 - $3 000,4 minis / 40 micros,EOT,$5 000,-,$5 100,40%,3,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$3 001 - $4 500,8 minis / 80 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$4 501 - $9 000,15 minis / 150 micros,,,,,,,,,,
