PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,,,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,,,,1st,2nd,3rd+,,
1,FuturesElite,England,2025,FuturesElite Prime,50k,3 minis / 30 micros,Subscription,$99,"$79,2",-,No,Yes,Trailing,$2 000,-,$3 000,-,-,FREE,No,No,3 minis / 30 micros,Trailing,$2 000,-,$2 000,40%,5,$150,-,$1 300,$1 500,$1 800,80%,"Request 50% of account balance
Other 50% stays as buffer"
2,FuturesElite,England,2025,FuturesElite Prime,100k,8 minis / 80 micros,Subscription,$189,"$151,2",-,No,Yes,Trailing,$3 000,-,$6 000,-,-,FREE,No,No,8 minis / 80 micros,Trailing,$3 000,-,$2 800,40%,5,$250,-,$2 500,$2 900,$3 300,80%,"Request 50% of account balance
Other 50% stays as buffer"
3,FuturesElite,England,2025,FuturesElite Prime,150k,12 minis / 120 micros,Subscription,$279,"$223,2",-,No,Yes,Trailing,$4 500,-,$9 000,-,-,FREE,No,No,12 minis / 120 micros,Trailing,$4 500,-,$4 500,40%,5,$350,-,$3 500,$3 900,$4 500,80%,"Request 50% of account balance
Other 50% stays as buffer"
4,FuturesElite,England,2025,FuturesElite Elite,50k,4 minis / 40 micros,Subscription,$129,"$90,3",-,No,Yes,EOD,$2 000,-,$3 000,50%,-,FREE,No,No,4 minis / 40 micros,EOD,$2 000,-,$2 000,-,5,$150,-,$1 300,$1 500,$1 500,80%,
5,FuturesElite,England,2025,FuturesElite Elite,100k,8 minis / 80 micros,Subscription,$229,"$160,3",-,No,Yes,EOD,$3 000,-,$6 000,50%,-,FREE,No,No,8 minis / 80 micros,EOD,$3 000,-,$2 800,-,5,$250,-,$2 500,$2 900,$2 900,80%,
6,FuturesElite,England,2025,FuturesElite Elite,150k,12 minis / 120 micros,Subscription,$329,"$230,3",-,No,Yes,EOD,$4 500,-,$9 000,50%,-,FREE,No,No,12 minis / 120 micros,EOD,$4 500,-,$4 500,-,5,$350,-,$3 500,$3 900,$3 900,80%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPFIRM,,,,,,,,,,,DIRECT FUNDED,,,,,,,,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Profit Goal,,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,,,Profit Split,Notes,,,,,,,,
,,,,,,,,,,,,,,,,,1st,2nd+,,,,,1st,2nd,3rd+,,,,,,,,,,
7,FuturesElite,England,2025,FuturesElite Instant,25k,2 minis / 20 micros,Subscription,$329,"$230,3",-,No,No,2 minis / 20 micros,EOD,$1 000,-,$1 500,$1 000,20%,7,$100,-,$1 000,$1 000,$1 000,80%,,,,,,,,,
8,FuturesElite,England,2025,FuturesElite Instant,50k,4 minis / 40 micros,Subscription,$499,"$349,3",-,No,No,4 minis / 40 micros,EOD,$2 000,-,$2 500,$1 500,20%,7,$150,-,$2 000,$2 500,$3 000,80%,,,,,,,,,
9,FuturesElite,England,2025,FuturesElite Instant,100k,8 minis / 80 micros,Subscription,$699,"$489,3",-,No,No,8 minis / 80 micros,EOD,$4 000,-,$5 000,$2 000,20%,7,$250,-,$3 500,$4 000,$4 500,80%,,,,,,,,,
10,FuturesElite,England,2025,FuturesElite Instant,150k,12 minis / 120 micros,Subscription,$899,"$629,3",-,No,No,12 minis / 120 micros,EOD,$6 000,-,$8 000,$4 000,20%,7,$350,-,$4 200,$4 600,$5 000,80%,,,,,,,,,
