PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,,,,,,
1,Phidias,GIB,2024,Phidias Static,25k,2 minis / 20 micros,Lifetime,$85,"$42,50",Q2SUCCESS,No,Yes,Static,$500,-,$1 500,-,1,$83,No,Yes,2 minis / 20 micros,Static,$500,-,$1 500,-,-,-,$500,$1 000,100%,"You reach the goal of $1,500 on your CASH account, you get a $1,000 payout bonus for reaching the goal and your account is transferred to a LIVE account."
2,Phidias,GIB,2024,Phidias Static OTP,25k,2 minis / 20 micros,OTP,$267,"$53,40",Q2SUCCESS,No,Yes,Static,$500,-,$1 500,-,1,FREE,No,Yes,2 minis / 20 micros,Static,$500,-,$1 500,-,-,-,$500,$1 000,100%,"You reach the goal of $1,500 on your CASH account, you get a $1,000 payout bonus for reaching the goal and your account is transferred to a LIVE account."
3,Phidias,GIB,2024,Phidias Fundamental OTP,50k,10 minis / 100 micros,OTP,$530,"$106,00",Q2SUCCESS,No,Yes,EOD,$2 500,-,$4 000,-,3,FREE,No,Yes,10 minis / 100 micros,EOD,$2 500,-,$2 600,30%,10,$150,$500,$2 000,80%,
4,Phidias,GIB,2024,Phidias Fundamental,50k,10 minis / 100 micros,Subscription,$159,"$63,60",Q2SUCCESS,No,Yes,EOD,$2 500,-,$4 000,-,3,$149,No,Yes,10 minis / 100 micros,EOD,$2 500,-,$2 600,30%,10,$150,$500,$2 000,80%,
5,Phidias,GIB,2024,Phidias Fundamental OTP,100k,14 minis / 140 micros,OTP,$663,"$132,60",Q2SUCCESS,No,Yes,EOD,$3 000,-,$6 000,-,3,FREE,No,Yes,14 minis / 140 micros,EOD,$3 000,-,$3 700,30%,10,$200,$500,$2 500,80%,
6,Phidias,GIB,2024,Phidias Fundamental,100k,14 minis / 140 micros,Subscription,$264,"$105,60",Q2SUCCESS,No,Yes,EOD,$3 000,-,$6 000,-,3,$149,No,Yes,14 minis / 140 micros,EOD,$3 000,-,$3 700,30%,10,$200,$500,$2 500,80%,
7,Phidias,GIB,2024,Phidias Fundamental OTP,150k,17 minis / 170 micros,OTP,$776,"$155,30",Q2SUCCESS,No,Yes,EOD,$4 500,-,$9 000,-,3,FREE,No,Yes,17 minis / 170 micros,EOD,$4 500,-,$4 500,30%,10,$250,$500,$2 750,80%,
8,Phidias,GIB,2024,Phidias Fundamental,150k,17 minis / 170 micros,Subscription,$378,"$151,20",Q2SUCCESS,No,Yes,EOD,$4 500,-,$9 000,-,3,$169,No,Yes,17 minis / 170 micros,EOD,$4 500,-,$4 500,30%,10,$250,$500,$2 750,80%,
9,Phidias,GIB,2024,Phidias Swing OTP,50k,10 minis / 100 micros,OTP,$663,"$132,60",Q2SUCCESS,Yes : 1 mini / 10 micros,Yes,EOD,$2 500,-,$4 000,-,3,FREE,Yes : 1 mini / 10 micros,Yes,10 minis / 100 micros,EOD,$2 500,-,$2 600,30%,10,$150,$500,$2 000,80%,
10,Phidias,GIB,2024,Phidias Swing,50k,10 minis / 100 micros,Subscription,$319,"$127,60",Q2SUCCESS,Yes : 1 mini / 10 micros,Yes,EOD,$2 500,-,$4 000,-,3,$149,Yes : 1 mini / 10 micros,Yes,10 minis / 100 micros,EOD,$2 500,-,$2 600,30%,10,$150,$500,$2 000,80%,
11,Phidias,GIB,2024,Phidias Swing OTP,100k,14 minis / 140 micros,OTP,$830,"$166,00",Q2SUCCESS,Yes : 2 minis / 20 micros,Yes,EOD,$3 000,-,$6 000,-,3,FREE,Yes : 2 minis / 20 micros,Yes,14 minis / 140 micros,EOD,$3 000,-,$3 700,30%,10,$200,$500,$2 500,80%,
12,Phidias,GIB,2024,Phidias Swing,100k,14 minis / 140 micros,Subscription,$398,"$159,20",Q2SUCCESS,Yes : 2 minis / 20 micros,Yes,EOD,$3 000,-,$6 000,-,3,$149,Yes : 2 minis / 20 micros,Yes,14 minis / 140 micros,EOD,$3 000,-,$3 700,30%,10,$200,$500,$2 500,80%,
13,Phidias,GIB,2024,Phidias Swing OTP,150k,17 minis / 170 micros,OTP,$1 013,"$202,60",Q2SUCCESS,Yes : 3 minis / 30 micros,Yes,EOD,$4 500,-,$9 000,-,3,FREE,Yes : 3 minis / 30 micros,Yes,17 minis / 170 micros,EOD,$4 500,-,$4 500,30%,10,$250,$500,$2 750,80%,
14,Phidias,GIB,2024,Phidias Swing,150k,17 minis / 170 micros,Subscription,$513,"$205,20",Q2SUCCESS,Yes : 3 minis / 30 micros,Yes,EOD,$4 500,-,$9 000,-,3,$169,Yes : 3 minis / 30 micros,Yes,17 minis / 170 micros,EOD,$4 500,-,$4 500,30%,10,$250,$500,$2 750,80%,
