symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM6,-2,0,0.25,471302750068,471302750017,1,26021.50,26015.50,$(12.00),04/15/2026 15:35:27,04/15/2026 15:32:41,2min 46sec
MNQM6,-2,0,0.25,471302750082,471302750096,1,26021.25,26028.00,$13.50,04/15/2026 15:36:57,04/15/2026 15:37:57,1min
MNQM6,-2,0,0.25,471302750126,471302750132,1,26038.25,26040.75,$5.00,04/15/2026 15:42:13,04/15/2026 15:42:31,17sec
MNQM6,-2,0,0.25,471302750174,471302750146,1,25995.50,26028.75,$66.50,04/15/2026 15:45:00,04/15/2026 15:44:25,35sec
MNQM6,-2,0,0.25,471302750216,471302750182,1,26044.75,26022.75,$(44.00),04/15/2026 15:51:29,04/15/2026 15:47:04,4min 25sec
MNQM6,-2,0,0.25,471302750233,471302750242,1,26067.75,26055.25,$(25.00),04/15/2026 16:00:11,04/15/2026 16:01:15,1min 3sec
MNQM6,-2,0,0.25,471302750260,471302750254,1,26074.25,26080.25,$12.00,04/15/2026 16:04:42,04/15/2026 16:03:45,56sec
MNQM6,-2,0,0.25,471302750308,471302750278,1,26094.25,26081.25,$(26.00),04/15/2026 16:18:29,04/15/2026 16:13:53,4min 36sec
MNQM6,-2,0,0.25,471302750330,471302750291,1,26080.00,26095.75,$31.50,04/15/2026 16:19:41,04/15/2026 16:16:14,3min 27sec
MNQM6,-2,0,0.25,471302750387,471302750344,1,26135.00,26120.75,$(28.50),04/15/2026 16:34:55,04/15/2026 16:24:11,10min 43sec
MNQM6,-2,0,0.25,471302750401,471302750357,1,26111.25,26143.50,$64.50,04/15/2026 16:39:04,04/15/2026 16:32:03,7min 1sec
MNQM6,-2,0,0.25,471302750409,471302750398,1,26116.75,26150.25,$67.00,04/15/2026 16:39:09,04/15/2026 16:37:30,1min 38sec
MNQM6,-2,0,0.25,471302750440,471302750417,1,26155.50,26144.00,$(23.00),04/15/2026 16:51:47,04/15/2026 16:48:06,3min 41sec
MNQM6,-2,0,0.25,471302750468,471302750423,1,26158.75,26164.75,$12.00,04/15/2026 17:01:04,04/15/2026 16:50:50,10min 13sec
MNQM6,-2,0,0.25,471302750493,471302750479,1,26147.50,26147.75,$0.50,04/15/2026 17:08:50,04/15/2026 17:08:18,32sec
MNQM6,-2,0,0.25,471302750523,471302750505,1,26155.25,26151.50,$(7.50),04/15/2026 17:10:13,04/15/2026 17:09:53,19sec
MNQM6,-2,0,0.25,471302750545,471302750539,1,26179.25,26181.00,$3.50,04/15/2026 17:13:55,04/15/2026 17:13:14,40sec
MNQM6,-2,0,0.25,471302750563,471302750553,1,26183.75,26185.50,$3.50,04/15/2026 17:17:39,04/15/2026 17:14:59,2min 40sec
MNQM6,-2,0,0.25,471302750607,471302750587,1,26189.25,26188.00,$(2.50),04/15/2026 17:29:29,04/15/2026 17:20:57,8min 31sec
MNQM6,-2,0,0.25,471302750626,471302750597,1,26179.00,26199.50,$41.00,04/15/2026 17:31:33,04/15/2026 17:28:31,3min 1sec
MNQM6,-2,0,0.25,471302750655,471302750641,1,26206.50,26207.50,$2.00,04/15/2026 17:45:31,04/15/2026 17:44:24,1min 6sec
MNQM6,-2,0,0.25,471302750689,471302750672,1,26203.25,26202.75,$(1.00),04/15/2026 17:48:29,04/15/2026 17:47:55,33sec
MNQM6,-2,0,0.25,471302750707,471302750697,1,26204.25,26200.75,$(7.00),04/15/2026 17:54:23,04/15/2026 17:54:19,4sec
MNQM6,-2,0,0.25,471302750733,471302750715,1,26203.00,26201.00,$(4.00),04/15/2026 17:55:21,04/15/2026 17:54:55,26sec
MNQM6,-2,0,0.25,471302750751,471302750741,1,26194.50,26192.00,$(5.00),04/15/2026 17:56:43,04/15/2026 17:56:27,15sec
MNQM6,-2,0,0.25,471302750769,471302750759,1,26195.50,26192.00,$(7.00),04/15/2026 18:00:34,04/15/2026 18:00:23,11sec
MNQM6,-2,0,0.25,471302750798,471302750784,1,26198.75,26194.50,$(8.50),04/15/2026 18:01:53,04/15/2026 18:01:29,23sec
MNQM6,-2,0,0.25,471302750892,471302750817,1,26240.50,26211.50,$(58.00),04/15/2026 18:25:04,04/15/2026 18:07:05,17min 59sec
MNQM6,-2,0,0.25,471302750897,471302750823,1,26238.25,26228.50,$(19.50),04/15/2026 18:25:04,04/15/2026 18:18:05,6min 58sec
MNQM6,-2,0,0.25,471302750911,471302750852,1,26233.50,26243.50,$20.00,04/15/2026 18:25:20,04/15/2026 18:20:30,4min 50sec
MNQM6,-2,0,0.25,471302750929,471302750905,1,26229.00,26237.00,$16.00,04/15/2026 18:28:38,04/15/2026 18:25:06,3min 31sec
MNQM6,-2,0,0.25,471302750937,471302750981,1,26217.50,26162.50,$(110.00),04/15/2026 18:30:10,04/15/2026 18:42:36,12min 26sec
MNQM6,-2,0,0.25,471302750943,471302750998,1,26205.50,26159.25,$(92.50),04/15/2026 18:30:48,04/15/2026 18:51:08,20min 20sec
MNQM6,-2,0,0.25,471302750969,471302751015,1,26185.50,26144.75,$(81.50),04/15/2026 18:40:15,04/15/2026 18:58:30,18min 14sec
MNQM6,-2,0,0.25,471302750975,471302751026,1,26152.75,26169.75,$34.00,04/15/2026 18:41:55,04/15/2026 19:09:22,27min 26sec
