,,,,
#,Prop firm,Nom du compte,Taille,Buffer
1,Apex Trader Funding,Apex EOD,25k,"$1 100,00"
2,Apex Trader Funding,Apex Trailing,25k,"$1 100,00"
3,Apex Trader Funding,Apex EOD,50k,"$2 100,00"
4,Apex Trader Funding,Apex Trailing,50k,"$2 100,00"
5,Apex Trader Funding,Apex EOD,100k,"$3 100,00"
6,Apex Trader Funding,Apex Trailing,100k,"$3 100,00"
7,Apex Trader Funding,Apex EOD,150k,"$4 100,00"
8,Apex Trader Funding,Apex Trailing,150k,"$4 100,00"
9,TopStep,TopStep Standard,50k,-
10,TopStep,TopStep,50k,-
11,TopStep,TopStep Standard,100k,-
12,TopStep,TopStep,100k,-
13,TopStep,TopStep Standard,150k,-
14,TopStep,TopStep,150k,-
15,Bulenox,Bulenox Opt. 1,25k,"$1 600,00"
16,Bulenox,Bulenox Opt. 2,25k,"$1 600,00"
17,Bulenox,Bulenox Opt. 1,50k,"$2 600,00"
18,Bulenox,Bulenox Opt. 2,50k,"$2 600,00"
19,Bulenox,Bulenox Opt. 1,100k,"$3 100,00"
20,Bulenox,Bulenox Opt. 2,100k,"$3 100,00"
21,Bulenox,Bulenox Opt. 1,150k,"$4 600,00"
22,Bulenox,Bulenox Opt. 2,150k,"$4 600,00"
23,Bulenox,Bulenox Opt. 1,250k,"$5 600,00"
24,Bulenox,Bulenox Opt. 2,250k,"$5 600,00"
25,Take Profit Trader,Take Profit Trader,25k,"$1 500,00"
26,Take Profit Trader,Take Profit Trader,50k,"$2 000,00"
27,Take Profit Trader,Take Profit Trader,75k,"$2 500,00"
28,Take Profit Trader,Take Profit Trader,100k,"$3 000,00"
29,Take Profit Trader,Take Profit Trader,150k,"$4 500,00"
30,Tradeify,Tradeify Growth,25k,"$1 500,00"
31,Tradeify,Tradeify Growth,50k,"$3 000,00"
32,Tradeify,Tradeify Growth,100k,"$4 500,00"
33,Tradeify,Tradeify Growth,150k,"$6 500,00"
34,Tradeify,Tradeify Select Daily,25k,"$1 100,00"
35,Tradeify,Tradeify Select Daily,50k,"$2 100,00"
36,Tradeify,Tradeify Select Daily,100k,"$2 600,00"
37,Tradeify,Tradeify Select Daily,150k,"$3 600,00"
38,Tradeify,Tradeify Select Flex,25k,-
39,Tradeify,Tradeify Select Flex,50k,-
40,Tradeify,Tradeify Select Flex,100k,-
41,Tradeify,Tradeify Select Flex,150k,-
42,Tradeify,Tradeify Ligthning,25k,"$1 500,00"
43,Tradeify,Tradeify Ligthning,50k,"$3 000,00"
44,Tradeify,Tradeify Ligthning,100k,"$6 000,00"
45,Tradeify,Tradeify Ligthning,150k,"$9 000,00"
46,Funded Next Futures,Funded Next Futures Bolt,50k,"$2 100,00"
47,Funded Next Futures,Funded Next Futures Rapid,25k,-
48,Funded Next Futures,Funded Next Futures Rapid,50k,-
49,Funded Next Futures,Funded Next Futures Rapid,100k,-
50,Funded Next Futures,Funded Next Futures Legacy,25k,-
51,Funded Next Futures,Funded Next Futures Legacy,50k,-
52,Funded Next Futures,Funded Next Futures Legacy,100k,-
53,Funded Futures Network,Funded Futures Network OG,25k,"$1 600,00"
54,Funded Futures Network,Funded Futures Network OG,50k,"$2 100,00"
55,Funded Futures Network,Funded Futures Network OG,100k,"$3 700,00"
56,Funded Futures Network,Funded Futures Network OG,150k,"$5 100,00"
57,Funded Futures Network,Funded Futures Network OG,250k,"$6 100,00"
